ID,CD_Account,Education,Personal_Loan,CCAvg,Mortgage,Age,Income
1,0,1,0,1.6,0,25,49
2,0,1,0,1.5,0,45,34
3,0,1,0,1.0,0,39,11
4,0,2,0,1.3,0,35,100
5,0,2,0,1.0,0,35,45
6,0,2,0,0.4,155,37,29
7,0,2,0,1.5,0,53,72
8,0,3,0,0.3,0,50,22
9,0,2,0,0.6,104,35,81
10,0,3,1,8.9,0,34,180
11,0,3,0,2.4,0,65,105
12,0,2,0,1.94,0,29,45
13,0,3,0,3.8,0,48,114
14,0,2,0,2.5,0,59,40
15,0,1,0,2.0,0,67,112
16,0,3,0,1.5,0,60,22
17,0,3,1,4.7,134,38,130
18,0,1,0,2.4,0,42,81
19,0,3,1,8.1,0,46,193
20,0,2,0,0.5,0,55,21
21,0,2,0,0.9,111,56,25
22,0,3,0,2.0,0,57,63
23,0,1,0,1.2,260,29,62
24,0,1,0,0.63,163,44,43
25,0,1,0,3.9,159,36,152
26,0,1,0,0.5,97,43,29
27,0,3,0,0.2,0,40,83
28,0,1,0,2.4,0,46,158
29,0,3,0,2.2,0,56,48
30,1,2,1,3.3,0,38,119
31,0,3,0,1.2,122,59,35
32,0,2,0,2.0,0,40,29
33,0,3,0,0.6,193,53,41
34,0,3,0,0.9,0,30,18
35,0,3,0,1.8,0,31,50
36,0,1,0,0.7,0,48,81
37,0,1,0,2.9,0,59,121
38,0,3,0,1.4,198,51,71
39,1,3,1,5.0,0,42,141
40,0,3,0,0.7,285,38,80
41,0,3,0,1.6,0,57,84
42,0,1,0,2.3,0,34,60
43,0,2,1,1.1,412,32,132
44,0,1,0,0.7,0,39,45
45,0,1,0,5.7,0,46,104
46,0,1,0,2.5,0,57,52
47,0,2,0,0.7,153,39,43
48,1,3,1,0.2,211,37,194
49,0,3,0,4.5,0,56,81
50,0,1,0,1.8,0,40,49
51,0,2,0,0.7,0,32,8
52,0,1,0,2.9,0,61,131
53,0,1,0,0.1,207,30,72
54,0,3,1,2.1,240,50,190
55,0,3,0,0.2,0,29,44
56,0,1,0,8.0,0,41,139
57,1,2,0,0.1,0,55,29
58,0,3,1,1.2,0,56,131
59,0,1,0,0.2,0,28,93
60,0,1,0,4.5,455,31,188
61,0,2,0,1.7,0,49,39
62,0,1,0,5.7,112,47,125
63,0,1,0,1.0,0,42,22
64,0,2,0,0.0,0,42,32
65,0,1,0,3.3,0,47,105
66,0,1,0,3.8,0,59,131
67,0,1,0,2.8,336,62,105
68,0,3,0,2.0,132,53,45
69,0,1,0,2.1,0,47,60
70,0,1,0,0.2,0,53,20
71,0,1,0,3.5,0,42,115
72,0,2,0,1.0,0,53,69
73,0,1,0,5.0,0,44,130
74,0,3,0,4.0,0,41,85
75,0,1,0,3.3,0,28,135
76,1,2,1,3.8,0,31,135
77,0,3,0,0.3,0,58,12
78,0,2,0,0.5,0,46,29
79,0,3,1,2.6,0,54,133
80,0,1,0,0.4,118,50,19
81,0,1,0,1.3,174,60,41
82,0,2,0,2.7,0,47,40
83,0,3,0,4.0,0,41,82
84,0,2,0,2.4,0,33,50
85,0,3,0,0.9,0,46,18
86,0,3,0,1.8,0,27,109
87,0,2,0,0.53,126,40,42
88,0,1,0,1.1,0,48,78
89,0,1,0,1.1,0,65,51
90,0,3,0,2.3,0,25,113
91,0,2,1,5.6,0,55,118
92,0,3,0,1.1,0,35,29
93,0,2,0,0.6,0,43,34
94,0,3,0,1.7,236,60,64
95,0,1,0,2.0,0,65,121
96,0,3,0,0.2,0,38,48
97,0,1,0,5.2,0,41,80
98,0,1,0,2.9,0,54,161
99,0,1,0,0.3,0,49,94
100,0,3,0,0.1,0,66,15
101,0,1,0,1.2,0,48,74
102,0,2,0,1.3,0,61,30
103,0,3,0,1.0,198,53,44
104,0,2,0,0.3,0,43,22
105,0,1,0,1.3,166,56,38
106,0,2,0,0.1,0,24,35
107,0,1,0,2.9,0,43,69
108,0,1,0,0.7,136,42,43
109,0,3,0,0.6,166,33,32
110,0,1,0,2.8,0,43,49
111,0,2,0,1.0,0,41,9
112,0,2,0,1.3,0,62,45
113,0,1,0,1.0,309,40,82
114,0,1,0,2.8,103,58,92
115,0,3,0,0.5,0,39,39
116,0,2,0,1.8,0,65,81
117,0,2,0,1.5,0,54,35
118,0,3,0,2.3,193,58,61
119,0,1,0,2.1,0,41,73
120,0,1,0,4.6,366,32,112
121,0,3,0,0.2,0,54,12
122,0,3,0,0.9,0,52,38
123,0,2,0,0.7,0,58,73
124,0,2,0,3.6,0,37,84
125,0,1,0,2.4,118,39,78
126,0,1,0,0.5,0,60,80
127,0,1,0,1.3,101,31,115
128,0,2,0,2.7,251,34,82
129,0,1,0,0.0,0,38,74
130,0,3,0,0.5,0,41,70
